match_no,stage,group_letter,home_team_code,away_team_code,home_placeholder,away_placeholder,venue_key,kickoff_local,venue_timezone,kickoff_utc,source_date_uk,source_time_uk,source_timezone,source
1,Group Stage,A,MEX,RSA,,,"Mexico City, Mexico",2026-06-11T13:00:00-06:00,America/Mexico_City,2026-06-11T19:00:00+00:00,2026-06-11,8pm,Europe/London,https://www.skysports.com/football/news/11095/13481245/world-cup-2026-fixture-schedule-and-uk-kick-off-times-day-by-day-breakdown-of-all-104-matches-including-england-scotland
2,Group Stage,A,KOR,CZE,,,"Zapopan, Mexico",2026-06-11T20:00:00-06:00,America/Mexico_City,2026-06-12T02:00:00+00:00,2026-06-12,3am,Europe/London,https://www.skysports.com/football/news/11095/13481245/world-cup-2026-fixture-schedule-and-uk-kick-off-times-day-by-day-breakdown-of-all-104-matches-including-england-scotland
3,Group Stage,B,CAN,BIH,,,"Toronto, Canada",2026-06-12T15:00:00-04:00,America/Toronto,2026-06-12T19:00:00+00:00,2026-06-12,8pm,Europe/London,https://www.skysports.com/football/news/11095/13481245/world-cup-2026-fixture-schedule-and-uk-kick-off-times-day-by-day-breakdown-of-all-104-matches-including-england-scotland
4,Group Stage,D,USA,PAR,,,"Los Angeles, USA",2026-06-12T18:00:00-07:00,America/Los_Angeles,2026-06-13T01:00:00+00:00,2026-06-13,2am,Europe/London,https://www.skysports.com/football/news/11095/13481245/world-cup-2026-fixture-schedule-and-uk-kick-off-times-day-by-day-breakdown-of-all-104-matches-including-england-scotland
5,Group Stage,B,QAT,SUI,,,"Santa Clara, USA",2026-06-13T12:00:00-07:00,America/Los_Angeles,2026-06-13T19:00:00+00:00,2026-06-13,8pm,Europe/London,https://www.skysports.com/football/news/11095/13481245/world-cup-2026-fixture-schedule-and-uk-kick-off-times-day-by-day-breakdown-of-all-104-matches-including-england-scotland
6,Group Stage,C,BRA,MAR,,,"New Jersey, USA",2026-06-13T18:00:00-04:00,America/New_York,2026-06-13T22:00:00+00:00,2026-06-13,11pm,Europe/London,https://www.skysports.com/football/news/11095/13481245/world-cup-2026-fixture-schedule-and-uk-kick-off-times-day-by-day-breakdown-of-all-104-matches-including-england-scotland
7,Group Stage,C,HAI,SCO,,,"Foxborough, USA",2026-06-13T21:00:00-04:00,America/New_York,2026-06-14T01:00:00+00:00,2026-06-14,2am,Europe/London,https://www.skysports.com/football/news/11095/13481245/world-cup-2026-fixture-schedule-and-uk-kick-off-times-day-by-day-breakdown-of-all-104-matches-including-england-scotland
8,Group Stage,D,AUS,TUR,,,"Vancouver, Canada",2026-06-13T21:00:00-07:00,America/Vancouver,2026-06-14T04:00:00+00:00,2026-06-14,5am,Europe/London,https://www.skysports.com/football/news/11095/13481245/world-cup-2026-fixture-schedule-and-uk-kick-off-times-day-by-day-breakdown-of-all-104-matches-including-england-scotland
9,Group Stage,E,GER,CUW,,,"Houston, USA",2026-06-14T12:00:00-05:00,America/Chicago,2026-06-14T17:00:00+00:00,2026-06-14,6pm,Europe/London,https://www.skysports.com/football/news/11095/13481245/world-cup-2026-fixture-schedule-and-uk-kick-off-times-day-by-day-breakdown-of-all-104-matches-including-england-scotland
10,Group Stage,F,NED,JPN,,,"Arlington, USA",2026-06-14T15:00:00-05:00,America/Chicago,2026-06-14T20:00:00+00:00,2026-06-14,9pm,Europe/London,https://www.skysports.com/football/news/11095/13481245/world-cup-2026-fixture-schedule-and-uk-kick-off-times-day-by-day-breakdown-of-all-104-matches-including-england-scotland
