team_code,team_name_from_pdf,shirt_number,position,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,source_url,source_page,extraction_method
ALG,Algeria,1,GK,MASTIL Melvin,Melvin Feycal,MASTIL,MASTIL,19/02/2000,FC Stade Nyonnais (SUI),194,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,2,DF,MANDI Aissa,Aissa,MANDI,MANDI,22/10/1991,Lille OSC (FRA),184,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,3,DF,ABADA Achraf,Achraf,ABADA,ABADA,15/06/1999,USM Alger (ALG),185,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,4,DF,TOUGAI Mohamed Amine,Mohamed Amine,TOUGAI,TOUGAI,22/01/2000,Espérance De Tunisie (TUN),186,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,5,DF,BELAID Zineddine,Zineddine,BELAÏD,BELAID,20/03/1999,JS Kabylie (ALG),186,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,6,MF,ZERROUKI Ramiz,Ramiz Larbi,ZERROUKI,ZERROUKI,26/05/1998,FC Twente (NED),183,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,7,FW,MAHREZ Riyad,Riyad Karim,MAHREZ,MAHREZ,21/02/1991,Al Ahli FC (KSA),179,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,8,MF,AOUAR Houssem,Houssem-Eddine Chaabane,AOUAR,AOUAR,30/06/1998,Al Ittihad (KSA),175,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,9,FW,GOUIRI Amine,Amine Ferid,GHOUIRI,GOUIRI,16/02/2000,Olympique Marseille (FRA),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,10,MF,CHAIBI Fares,Fares,CHAIBI,CHAIBI,28/11/2002,Eintracht Frankfurt (GER),183,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,11,FW,HADJ MOUSSA Anis,Anis,HADJ MOUSSA,HADJ MOUSSA,11/02/2002,Feyenoord Rotterdam (NED),176,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,12,FW,BENBOUALI Nadhir,Ahmed Nadhir,BENBOUALI,BENBOUALI,17/04/2000,Györi ETO FC (HUN),190,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,13,DF,HADJAM Jaouen,Jaouen Djimmy,HADJAM,HADJAM,26/03/2003,BSC Young Boys (SUI),185,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,14,MF,BOUDAOUI Hicham,Hicham,BOUDAOUI,BOUDAOUI,23/09/1999,OGC Nice (FRA),175,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,15,DF,AIT-NOURI Rayan,Rayan,AÏT-NOURI,AÏT NOURI,06/06/2001,Manchester City FC (ENG),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,16,GK,BENBOT Oussama,Oussama,BENBOT,BENBOT,11/10/1994,USM Alger (ALG),188,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,17,DF,BELGHALI Rak,Rak,BELGHALI,BELGHALI,07/06/2002,Hellas Verona FC (ITA),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,18,FW,AMOURA Mohamed,Mohammed Elamine,AMOURA,AMOURA,09/05/2000,VfL Wolfsburg (GER),170,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,19,MF,BENTALEB Nabil,Nabil,BENTALEB,BENTALEB,24/11/1994,Lille OSC (FRA),189,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,20,FW,BOULBINA Adil,Adil,BOULBINA,BOULBINA,02/05/2003,Al Duhail SC (QAT),183,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,21,DF,BENSEBAINI Ramy,Amir Selmane Rami,BENSEBAINI,BENSEBAINI,16/04/1995,Borussia Dortmund (GER),187,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,22,MF,MAZA Ibrahim,Ibrahim,MAZA,MAZA,24/11/2005,Bayer 04 Leverkusen (GER),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,23,GK,ZIDANE Luca,Luca Zinedine,ZIDANE,ZIDANE,13/05/1998,Granada CF (ESP),183,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,24,MF,TITRAOUI Yassine,Yassine M E G,TITRAOUI,TITRAOUI,26/08/2003,Sporting Charleroi (BEL),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,25,FW,GHEDJEMIS Fares,Fares,GHEDJEMIS,GHEDJEMIS,06/09/2002,Frosinone (ITA),183,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ALG,Algeria,26,DF,CHERGUI Samir,Samir Sophian,CHERGUI,CHRGUI,06/02/1999,Paris FC (FRA),185,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,1,GK,MUSSO Juan,Juan Agustín,MUSSO,MUSSO,06/05/1994,Atlético De Madrid (ESP),193,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,2,DF,BALERDI Leonardo,Leonardo Julián,BALERDI ROSA,BALERDI,26/01/1999,Olympique Marseille (FRA),188,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,3,DF,TAGLIAFICO Nicolas,Nicolás Alejandro,TAGLIAFICO,TAGLIAFICO,31/08/1992,Olympique Lyonnais (FRA),172,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,4,DF,MONTIEL Gonzalo,Gonzalo Ariel,MONTIEL,MONTIEL,01/01/1997,CA River Plate (ARG),175,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,5,MF,PAREDES Leandro,Leandro Daniel,PAREDES,PAREDES,29/06/1994,CA Boca Juniors (ARG),182,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,6,DF,MARTINEZ Lisandro,Lisandro,MARTÍNEZ,MARTÍNEZ,18/01/1998,Manchester United FC (ENG),175,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,7,MF,DE PAUL Rodrigo,Rodrigo Javier,DE PAUL,DE PAUL,24/05/1994,Inter Miami CF (USA),178,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,8,MF,BARCO Valentin,Valentin,BARCO,BARCO,23/07/2004,RC Strasbourg (FRA),172,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,9,FW,ALVAREZ Julian,Julián,ÁLVAREZ,J. ALVAREZ,31/01/2000,Atlético De Madrid (ESP),170,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,10,FW,MESSI Lionel,Lionel Andrés,MESSI,MESSI,24/06/1987,Inter Miami CF (USA),170,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,11,MF,LO CELSO Giovani,Giovani,LO CELSO,LO CELSO,09/04/1996,Real Betis (ESP),177,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,12,GK,RULLI Geronimo,Geronimo,RULLI,RULLI,20/05/1992,Olympique Marseille (FRA),189,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,13,DF,ROMERO Cristian,Cristian Gabriel,ROMERO,ROMERO,27/04/1998,Tottenham Hotspur FC (ENG),185,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,14,MF,PALACIOS Exequiel,Exequiel Alejandro,PALACIOS,PALACIOS,05/10/1998,Bayer 04 Leverkusen (GER),177,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,15,MF,GONZALEZ Nico,Nicolas Ivan,GONZALEZ,N. GONZALEZ,06/04/1998,Atlético De Madrid (ESP),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,16,FW,ALMADA Thiago,Thiago Ezequiel,ALMADA,ALMADA,26/04/2001,Atlético De Madrid (ESP),171,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,17,FW,SIMEONE Giuliano,Giuliano,SIMEONE,SIMEONE,18/12/2002,Atlético De Madrid (ESP),174,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,18,FW,PAZ Nico,Nicolas,PAZ MARTÍNEZ,NICO PAZ,08/09/2004,Como (ITA),185,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,19,DF,OTAMENDI Nicolas,Nicolas Hernan Gonzalo,OTAMENDI,OTAMENDI,12/02/1988,SL Benca (POR),182,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,20,MF,MAC ALLISTER Alexis,Alexis,MAC ALLISTER,MAC ALLISTER,24/12/1998,Liverpool FC (ENG),176,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,21,FW,LOPEZ Jose Manuel,Jose Manuel Alberto,LOPEZ,LOPEZ,06/12/2000,SE Palmeiras (BRA),190,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,22,FW,MARTINEZ Lautaro,Lautaro Javier,MARTÍNEZ,L. MARTINEZ,22/08/1997,FC Internazionale Milano (ITA),175,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,23,GK,MARTINEZ Emiliano,Damián Emiliano,MARTÍNEZ,E. MARTINEZ,02/09/1992,Aston Villa FC (ENG),195,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,24,MF,FERNANDEZ Enzo,Enzo Jeremías,FERNÁNDEZ,E. FERNANDEZ,17/01/2001,Chelsea FC (ENG),178,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,25,DF,MEDINA Facundo,Facundo Axel,MEDINA,MEDINA,28/05/1999,Olympique Marseille (FRA),184,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
ARG,Argentina,26,DF,MOLINA Nahuel,Nahuel,MOLINA LUCERO,MOLINA,06/04/1998,Atlético De Madrid (ESP),179,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,1,GK,RYAN Mathew,Mathew David,RYAN,RYAN,08/04/1992,Levante UD (ESP),184,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,2,DF,DEGENEK Milos,Milos,DEGENEK,DEGENEK,28/04/1994,APOEL FC (CYP),187,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,3,DF,CIRCATI Alessandro,Alessandro,CIRCATI,CIRCATI,10/10/2003,Parma (ITA),191,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,4,DF,ITALIANO Jacob,Jacob Michael,ITALIANO,ITALIANO,30/07/2001,Grazer AK (AUT),177,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,5,DF,BOS Jordan,Jordan Jacob,BOS,BOS,29/10/2002,Feyenoord Rotterdam (NED),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,6,DF,GERIA Jason,Jason Kato,GERIA,GERIA,10/05/1993,Albirex Niigata (JPN),181,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,7,FW,LECKIE Mathew,Mathew Allan,LECKIE,LECKIE,04/02/1991,Melbourne City FC (AUS),181,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,8,MF,METCALFE Connor,Connor Isaac,METCALFE,METCALFE,05/11/1999,FC St. Pauli (GER),183,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,9,FW,TOURE Mohamed,Mohamed A,TOURE,TOURE,26/03/2004,Norwich City FC (ENG),186,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,10,FW,HRUSTIC Ajdin,Ajdin,HRUSTIC,HRUSTIC,05/07/1996,SC Heracles Almelo (NED),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,11,FW,MABIL Awer,Awer Bul,MABIL,MABIL,15/09/1995,CD Castellón (ESP),178,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,12,GK,IZZO Paul,Paul David,IZZO,IZZO,06/01/1995,Randers FC (DEN),184,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,13,MF,ONEILL Aiden,Aiden Connor,O'NEILL,O'NEILL,04/07/1998,New York City FC (USA),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,14,MF,DEVLIN Cameron,Cameron Peter,DEVLIN,DEVLIN,07/06/1998,Heart Of Midlothian FC (SCO),170,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,15,DF,TREWIN Kai,Kai Clifton,TREWIN,TREWIN,18/05/2001,New York City FC (USA),183,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,16,DF,BEHICH Aziz,Aziz,BEHICH,BEHICH,16/12/1990,Melbourne City FC (AUS),170,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,17,FW,IRANKUNDA Nestory,Nestory,IRANKUNDA,IRANKUNDA,09/02/2006,Watford FC (ENG),165,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,18,GK,BEACH Patrick,Patrick Thomas,BEACH,BEACH,06/08/2003,Melbourne City FC (AUS),189,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,19,DF,SOUTTAR Harry,Harry James,SOUTTAR,SOUTTAR,22/10/1998,Leicester City FC (ENG),198,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,20,FW,VOLPATO Cristian,Cristian,VOLPATO,VOLPATO,15/11/2003,US Sassuolo (ITA),187,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,21,DF,BURGESS Cameron,Cameron Robert,BURGESS,BURGESS,21/10/1995,Swansea City AFC (WAL),194,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,22,MF,IRVINE Jackson,Jackson Alexander,IRVINE,IRVINE,07/03/1993,FC St. Pauli (GER),189,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,23,FW,VELUPILLAY Nishan,Nishan Matthew,VELUPILLAY,VELUPILLAY,07/05/2001,Melbourne Victory FC (AUS),181,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,24,MF,OKON-ENGSTLER Paul,Paul Michael Junior,OKON-ENGSTLER,OKON-ENGSTLER,24/01/2005,Sydney FC (AUS),185,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,25,DF,HERRINGTON Lucas,Lucas,HERRINGTON,HERRINGTON,05/09/2007,Colorado Rapids (USA),193,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUS,Australia,26,FW,YENGI Tete,Tete Owen,YENGI,YENGI,28/11/2000,FC Machida Zelvia (JPN),197,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,1,GK,SCHLAGER Alexander,Alexander,SCHLAGER,SCHLAGER,01/02/1996,FC Red Bull Salzburg (AUT),188,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,2,DF,AFFENGRUBER David,David Leopold,AFFENGRUBER,AFFENGRUBER,19/03/2001,Elche CF (ESP),185,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,3,DF,DANSO Kevin,Kevin,DANSO,DANSO,19/09/1998,Tottenham Hotspur FC (ENG),190,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
