fifa_code,as_of,form,record,gf,ga,recent
ALG,2026-06-07,WWWWLWDW,6W-1D-1L,16,3,"3-1 Equatorial Guinea (N, African Cup of Nations); 1-0 DR Congo (N, African Cup of Nations); 0-2 Nigeria (N, African Cup of Nations); 7-0 Guatemala (N, Friendly); 0-0 Uruguay (N, Friendly); 1-0 Netherlands (A, Friendly)"
ARG,2026-06-07,WLWWWWWW,7W-0D-1L,21,2,"1-0 Venezuela (N, Friendly); 6-0 Puerto Rico (N, Friendly); 2-0 Angola (A, Friendly); 2-1 Mauritania (H, Friendly); 5-0 Zambia (H, Friendly); 2-0 Honduras (N, Friendly)"
AUS,2026-06-07,WLLLWWLD,3W-1D-4L,9,9,"0-1 Venezuela (N, Friendly); 0-3 Colombia (N, Friendly); 1-0 Cameroon (H, FIFA Series); 5-1 Curaçao (H, FIFA Series); 0-1 Mexico (N, Friendly); 1-1 Switzerland (N, Friendly)"
AUT,2026-06-07,WWLWDWWW,6W-1D-1L,22,4,"0-1 Romania (A, FIFA World Cup qualification); 2-0 Cyprus (A, FIFA World Cup qualification); 1-1 Bosnia and Herzegovina (H, FIFA World Cup qualification); 5-1 Ghana (H, Friendly); 1-0 South Korea (H, Friendly); 1-0 Tunisia (H, Friendly)"
BEL,2026-06-07,DWDWWDWW,5W-3D-0L,25,6,"1-1 Kazakhstan (A, FIFA World Cup qualification); 7-0 Liechtenstein (H, FIFA World Cup qualification); 5-2 United States (A, Friendly); 1-1 Mexico (N, Friendly); 2-0 Croatia (A, Friendly); 5-0 Tunisia (H, Friendly)"
BIH,2026-06-07,DWWDDDDD,2W-6D-0L,13,8,"3-1 Romania (H, FIFA World Cup qualification); 1-1 Austria (A, FIFA World Cup qualification); 1-1 Wales (A, FIFA World Cup qualification); 1-1 Italy (H, FIFA World Cup qualification); 0-0 North Macedonia (H, Friendly); 1-1 Panama (N, Friendly)"
BRA,2026-06-07,WLWDLWWW,5W-1D-2L,22,10,"2-0 Senegal (N, Friendly); 1-1 Tunisia (N, Friendly); 1-2 France (N, Friendly); 3-1 Croatia (N, Friendly); 6-2 Panama (H, Friendly); 2-1 Egypt (N, Friendly)"
CAN,2026-06-07,LDDWDDWD,2W-5D-1L,7,4,"0-0 Ecuador (H, Friendly); 2-0 Venezuela (N, Friendly); 2-2 Iceland (H, Friendly); 0-0 Tunisia (H, Friendly); 2-0 Uzbekistan (H, Friendly); 1-1 Republic of Ireland (H, Friendly)"
CIV,2026-06-07,WDWWLWWW,6W-1D-1L,17,7,"3-2 Gabon (N, African Cup of Nations); 3-0 Burkina Faso (N, African Cup of Nations); 2-3 Egypt (N, African Cup of Nations); 4-0 South Korea (N, Friendly); 1-0 Scotland (N, Friendly); 2-1 France (A, Friendly)"
COD,2026-06-07,DWDWLWWD,4W-3D-1L,9,3,"1-1 Senegal (N, African Cup of Nations); 3-0 Botswana (N, African Cup of Nations); 0-1 Algeria (N, African Cup of Nations); 2-0 Bermuda (N, Friendly); 1-0 Jamaica (N, FIFA World Cup qualification); 0-0 Denmark (N, Friendly)"
COL,2026-06-07,WDWWLLWW,5W-1D-2L,16,7,"2-1 New Zealand (N, Friendly); 3-0 Australia (N, Friendly); 1-2 Croatia (N, Friendly); 1-3 France (N, Friendly); 3-1 Costa Rica (H, Friendly); 2-0 Jordan (N, Friendly)"
CPV,2026-06-07,DWDDLDWL,2W-4D-2L,13,12,"0-0 Iran (N, Al Ain International Cup); 1-1 Egypt (N, Al Ain International Cup); 2-4 Chile (N, FIFA Series); 1-1 Finland (N, FIFA Series); 3-0 Serbia (N, Friendly); 0-3 Bermuda (N, Friendly)"
CRO,2026-06-07,DWWWWLLW,5W-1D-2L,14,10,"3-1 Faroe Islands (H, FIFA World Cup qualification); 3-2 Montenegro (A, FIFA World Cup qualification); 2-1 Colombia (N, Friendly); 1-3 Brazil (N, Friendly); 0-2 Belgium (H, Friendly); 2-1 Slovenia (H, Friendly)"
CUW,2026-06-07,WDWDLLLW,3W-2D-3L,16,12,"7-0 Bermuda (A, FIFA World Cup qualification); 0-0 Jamaica (A, FIFA World Cup qualification); 0-2 China (N, FIFA Series); 1-5 Australia (A, FIFA Series); 1-4 Scotland (A, Friendly); 4-0 Aruba (H, Friendly)"
CZE,2026-06-07,DLWWDDWW,4W-3D-1L,19,8,"1-0 San Marino (H, Friendly); 6-0 Gibraltar (H, FIFA World Cup qualification); 2-2 Republic of Ireland (H, FIFA World Cup qualification); 2-2 Denmark (H, FIFA World Cup qualification); 2-1 Kosovo (H, Friendly); 5-1 Guatemala (N, Friendly)"
ECU,2026-06-07,DDDWDDWW,3W-5D-0L,11,5,"0-0 Canada (A, Friendly); 2-0 New Zealand (N, Friendly); 1-1 Morocco (N, Friendly); 1-1 Netherlands (A, Friendly); 2-1 Saudi Arabia (N, Friendly); 3-0 Guatemala (N, Friendly)"
EGY,2026-06-07,WWLDWDWL,4W-2D-2L,12,6,"0-1 Senegal (N, African Cup of Nations); 0-0 Nigeria (N, African Cup of Nations); 4-0 Saudi Arabia (A, Friendly); 0-0 Spain (A, Friendly); 1-0 Russia (H, Friendly); 1-2 Brazil (N, Friendly)"
ENG,2026-06-07,WWWWWDLW,6W-1D-1L,19,2,"5-0 Latvia (A, FIFA World Cup qualification); 2-0 Serbia (H, FIFA World Cup qualification); 2-0 Albania (A, FIFA World Cup qualification); 1-1 Uruguay (H, Friendly); 0-1 Japan (H, Friendly); 1-0 New Zealand (N, Friendly)"
ESP,2026-06-07,WWWWDWDD,5W-3D-0L,22,3,"4-0 Bulgaria (H, FIFA World Cup qualification); 4-0 Georgia (A, FIFA World Cup qualification); 2-2 Turkey (H, FIFA World Cup qualification); 3-0 Serbia (H, Friendly); 0-0 Egypt (H, Friendly); 1-1 Iraq (H, Friendly)"
FRA,2026-06-07,WWDWWWWL,6W-1D-1L,20,8,"2-2 Iceland (A, FIFA World Cup qualification); 4-0 Ukraine (H, FIFA World Cup qualification); 3-1 Azerbaijan (A, FIFA World Cup qualification); 2-1 Brazil (N, Friendly); 3-1 Colombia (N, Friendly); 1-2 Ivory Coast (H, Friendly)"
GER,2026-06-07,WWWWWWWW,8W-0D-0L,25,5,"2-0 Luxembourg (A, FIFA World Cup qualification); 6-0 Slovakia (H, FIFA World Cup qualification); 4-3 Switzerland (A, Friendly); 2-1 Ghana (H, Friendly); 4-0 Finland (H, Friendly); 2-1 United States (A, Friendly)"
GHA,2026-06-07,WWLLLLLD,2W-1D-5L,9,13,"0-2 Japan (A, Kirin Cup); 0-1 South Korea (A, Friendly); 1-5 Austria (A, Friendly); 1-2 Germany (A, Friendly); 0-2 Mexico (A, Friendly); 1-1 Wales (A, Friendly)"
HAI,2026-06-07,WLWWLDWL,4W-1D-3L,12,7,"1-0 Costa Rica (N, FIFA World Cup qualification); 2-0 Nicaragua (N, FIFA World Cup qualification); 0-1 Tunisia (N, Friendly); 1-1 Iceland (N, Friendly); 4-0 New Zealand (N, Friendly); 1-2 Peru (N, Friendly)"
IRN,2026-06-07,LWDDLWWW,4W-2D-2L,14,5,"0-0 Cape Verde (N, Al Ain International Cup); 0-0 Uzbekistan (N, Al Ain International Cup); 1-2 Nigeria (N, Friendly); 5-0 Costa Rica (N, Friendly); 3-1 Gambia (N, Friendly); 2-0 Mali (N, Friendly)"
IRQ,2026-06-07,WWWLLWWD,5W-1D-2L,10,7,"2-0 Sudan (N, Arab Cup); 0-2 Algeria (N, Arab Cup); 0-1 Jordan (N, Arab Cup); 2-1 Bolivia (N, FIFA World Cup qualification); 1-0 Andorra (N, Friendly); 1-1 Spain (A, Friendly)"
JOR,2026-06-07,WWWLDDLL,3W-2D-3L,12,13,"1-0 Saudi Arabia (N, Arab Cup); 2-3 Morocco (N, Arab Cup); 2-2 Costa Rica (N, Friendly); 2-2 Nigeria (N, Friendly); 1-4 Switzerland (A, Friendly); 0-2 Colombia (N, Friendly)"
JPN,2026-06-07,LDWWWWWW,6W-1D-1L,13,6,"3-2 Brazil (H, Kirin Cup); 2-0 Ghana (H, Kirin Cup); 3-0 Bolivia (H, Kirin Cup); 1-0 Scotland (A, Friendly); 1-0 England (A, Friendly); 1-0 Iceland (H, Friendly)"
KOR,2026-06-07,LWWWLLWW,5W-0D-3L,11,10,"2-0 Bolivia (H, Friendly); 1-0 Ghana (H, Friendly); 0-4 Ivory Coast (N, Friendly); 0-1 Austria (A, Friendly); 5-0 Trinidad and Tobago (N, Friendly); 1-0 El Salvador (N, Friendly)"
KSA,2026-06-07,WLWLLLLW,3W-0D-5L,10,12,"2-1 Palestine (N, Arab Cup); 0-1 Jordan (N, Arab Cup); 0-4 Egypt (H, Friendly); 1-2 Serbia (A, Friendly); 1-2 Ecuador (N, Friendly); 3-0 Puerto Rico (N, Friendly)"
MAR,2026-06-07,WDWDWWWD,5W-3D-0L,18,3,"3-0 Senegal (H, African Cup of Nations); 1-1 Ecuador (N, Friendly); 2-1 Paraguay (N, Friendly); 5-0 Burundi (H, Friendly); 4-0 Madagascar (H, Friendly); 1-1 Norway (N, Friendly)"
MEX,2026-06-07,WWWDDWWW,6W-2D-0L,15,2,"4-0 Iceland (H, Friendly); 0-0 Portugal (H, Friendly); 1-1 Belgium (N, Friendly); 2-0 Ghana (H, Friendly); 1-0 Australia (N, Friendly); 5-1 Serbia (H, Friendly)"
NED,2026-06-07,WWWDWWDL,5W-2D-1L,19,6,"4-0 Finland (H, FIFA World Cup qualification); 1-1 Poland (A, FIFA World Cup qualification); 4-0 Lithuania (H, FIFA World Cup qualification); 2-1 Norway (H, Friendly); 1-1 Ecuador (H, Friendly); 0-1 Algeria (H, Friendly)"
NOR,2026-06-07,WDWWLDWD,4W-3D-1L,19,7,"4-1 Estonia (H, FIFA World Cup qualification); 4-1 Italy (A, FIFA World Cup qualification); 1-2 Netherlands (A, Friendly); 0-0 Switzerland (H, Friendly); 3-1 Sweden (H, Friendly); 1-1 Morocco (N, Friendly)"
NZL,2026-06-07,LDLLLWLL,1W-1D-6L,6,14,"1-2 Colombia (N, Friendly); 0-2 Ecuador (N, Friendly); 0-2 Finland (H, FIFA Series); 4-1 Chile (H, FIFA Series); 0-4 Haiti (N, Friendly); 0-1 England (N, Friendly)"
PAN,2026-06-07,WDLDWLWD,3W-3D-2L,14,13,"0-1 Mexico (H, Friendly); 1-1 South Africa (A, Friendly); 2-1 South Africa (A, Friendly); 2-6 Brazil (A, Friendly); 4-2 Dominican Republic (H, Friendly); 1-1 Bosnia and Herzegovina (N, Friendly)"
PAR,2026-06-07,WDLLWWLW,4W-1D-3L,12,9,"0-2 South Korea (A, Friendly); 1-2 United States (A, Friendly); 2-1 Mexico (N, Friendly); 1-0 Greece (A, Friendly); 1-2 Morocco (N, Friendly); 4-0 Nicaragua (H, Friendly)"
POR,2026-06-07,WWDLWDWW,5W-2D-1L,19,8,"2-2 Hungary (H, FIFA World Cup qualification); 0-2 Republic of Ireland (A, FIFA World Cup qualification); 9-1 Armenia (H, FIFA World Cup qualification); 0-0 Mexico (A, Friendly); 2-0 United States (A, Friendly); 2-1 Chile (H, Friendly)"
QAT,2026-06-07,DWLLDLLD,1W-3D-4L,4,9,"1-2 Zimbabwe (H, Friendly); 0-1 Palestine (H, Arab Cup); 1-1 Syria (H, Arab Cup); 0-3 Tunisia (H, Arab Cup); 0-1 Republic of Ireland (A, Friendly); 0-0 El Salvador (N, Friendly)"
